ID,COUNTRY_CODE,NAME,LOCATION_TYPE
9121149,ID,67374,Postal Code
9145539,IN,334305,Postal Code
9057623,US,Brown County,County
9023839,US,66035,Postal Code
9033053,US,97435,Postal Code
9076379,VE,Temblador,City
9056506,FR,92240,Postal Code
9149857,IN,734122,Postal Code
9034014,US,99754,Postal Code
9068782,DE,Breitenbach am Herzberg,Municipality
9061815,IN,700049,Postal Code
9136141,MX,30820,Postal Code
1003669,CO,Popayan,City
9120964,ID,29784,Postal Code
9153446,IN,768105,Postal Code
9105749,HU,9483,Postal Code
9032934,US,97210,Postal Code
9015963,US,45807,Postal Code
9046837,GB,AB21,Postal Code
1003443,CN,Huainan,City
9043070,DE,12681,Postal Code
9300901,IN,321302,Postal Code
9031867,US,93726,Postal Code
9022924,US,63353,Postal Code
9171718,JP,026-0412,Postal Code
9153598,IN,815317,Postal Code
9110278,FR,20134,Postal Code
9025750,US,72027,Postal Code
1017271,US,Plymouth,City
9132596,MX,92913,Postal Code
9040570,US,Maryland's 3rd Congressional District 2012 redistricting,Congressional District
9102568,BR,97543,Postal Code
9004247,US,10606,Postal Code
9154210,IN,431510,Postal Code
1016309,US,Bluffs,City
9107403,HU,8851,Postal Code
9009818,US,27882,Postal Code
9000388,CA,H1Z,Postal Code
9074232,BR,Artur Nogueira,City
9167423,JP,709-3113,Postal Code
9302323,IN,732127,Postal Code
9153588,IN,814148,Postal Code
9171296,JP,099-6509,Postal Code
9118989,NZ,0627,Postal Code
9110774,FR,71960,Postal Code
9026481,US,73950,Postal Code
1023503,US,Windham,City
9016000,US,45860,Postal Code
9150283,IN,765001,Postal Code
9175791,JP,441-1955,Postal Code
9301511,IN,711310,Postal Code
9134208,MX,68670,Postal Code
9063872,NL,1736,Postal Code
9043398,DE,27283,Postal Code
9169646,JP,061-0251,Postal Code
9023765,US,65739,Postal Code
9108375,FR,03270,Postal Code
9071244,AU,3927,Postal Code
9138511,MX,28047,Postal Code
1001725,BR,Bauru,City
9153958,IN,273211,Postal Code
9301255,IN,160004,Postal Code
9000821,CA,L5N,Postal Code
1009752,JP,Kumamoto,City
9069521,FR,05240,Postal Code
1023958,US,Richwood,City
9142423,MX,43866,Postal Code
9019005,US,53951,Postal Code
9156020,JP,938-0103,Postal Code
9058992,US,Morrow County,County
9005371,US,13739,Postal Code
1025403,US,Wexford,City
9044010,DE,42853,Postal Code
9150296,IN,766019,Postal Code
9127164,ID,Pulung,District
9026890,US,75160,Postal Code
1011835,RO,Corabia,City
9013670,US,38501,Postal Code
9012101,US,33610,Postal Code
9072353,AU,7011,Postal Code
9042540,DE,86316,Postal Code
9120015,ID,22413,Postal Code
9126638,ID,Una-Una,District
9157390,JP,028-5223,Postal Code
9175079,JP,699-5632,Postal Code
9134031,MX,65654,Postal Code
1019517,US,Parma,City
9031936,US,94087,Postal Code
9043679,DE,26131,Postal Code
9153646,IN,835324,Postal Code
1004480,DE,Buckeburg,City
9033813,US,99341,Postal Code
1016321,US,Broadview,City
9122058,NZ,Te Atatu Peninsula,Neighborhood
1029052,ZA,Wartburg,City
9157924,JP,692-0404,Postal Code
1019586,US,Shelby,City
9018673,US,52750,Postal Code
200790,US,"Albuquerque-Santa Fe, NM",DMA Region
9170836,JP,059-3453,Postal Code
9129445,MX,82923,Postal Code
9300126,IN,Kommaghatta,City
9123917,ID,Dabun Gelang,District
9141410,MX,73142,Postal Code
9041967,DE,76706,Postal Code
9047044,ES,Avila,Province
9169294,JP,681-0032,Postal Code
9166447,JP,989-1224,Postal Code
9043418,DE,27442,Postal Code
9074961,RU,Losevo,City
9139697,MX,38560,Postal Code
9018795,US,53143,Postal Code
9121504,ID,46131,Postal Code
9108849,FR,35540,Postal Code
1025064,US,McKeesport,City
9026096,US,72801,Postal Code
1014792,US,North Windham,Neighborhood
1008349,IT,Imperia,City
9109837,FR,80135,Postal Code
9046704,GB,DL9,Postal Code
9146370,IN,431002,Postal Code
9151679,IN,207001,Postal Code
9152740,IN,574146,Postal Code
9029864,US,84626,Postal Code
1001575,BR,Juiz de Fora,City
1030870,AT,Bad Goisern,City
9058613,US,Lancaster County,County
1013793,US,Forest Knolls,City
9113020,US,Maine's 2nd Congressional District 2022 redistricting,Congressional District
9068284,DE,22177,Postal Code
9112461,EG,Dikirnis,City
9158917,JP,689-3135,Postal Code
9124422,ID,Tondano Timur,District
9017349,US,49102,Postal Code
9013885,US,39058,Postal Code
9045914,GB,KT4,Postal Code
9002590,US,04224,Postal Code
1013395,US,Coolidge,City
9166437,JP,437-0614,Postal Code
9119830,ID,92953,Postal Code
9165998,JP,404-0004,Postal Code
9157883,JP,731-2101,Postal Code
9076077,LK,Ahangama,City
1001141,BE,Tervuren,City
1023279,US,Port Jervis,City
9142535,MX,76486,Postal Code
9012446,US,35004,Postal Code
9031776,US,93531,Postal Code
1007145,GB,Tadcaster,City
9124430,ID,Poncol,District
9074600,TH,Mittraphap,City
9164561,JP,701-2432,Postal Code
9010689,US,29742,Postal Code
9026529,US,74070,Postal Code
9016870,None,48131,Postal Code
9049789,FR,Lescar,City
9069496,BD,Sherpur District,District
9118752,NZ,8042,Postal Code
1009743,JP,Isahaya,City
9007504,US,19951,Postal Code
9051012,NL,Loenen aan de Vecht,City
9111087,FR,95780,Postal Code
9073493,US,Meatpacking District,Neighborhood
1027837,None,Athens,City
9174257,JP,861-7314,Postal Code
1024766,US,Coraopolis,City
9146830,IN,486115,Postal Code
9063554,NL,5318,Postal Code
